,tweet_id,text,query,user_id,follower_count,user_tweet_count,likes,retweets,user_location,date
2367,1346818688859648003,yay two busloads of stupid gullible white people hop into enclosed spaces to support a disease trumpism amp spread one covid next stop intensive care it would be funny if only they got sick but they will come in contact with innocent people who didnt vote for a criminal,covid,93789081,133,13800,0,43,,2021-01-06
2372,1346818688176054272,dems have two years two years to undo everything trump did two years to fix everything trump has done two years to make sure we never ever have to go thru this again and of course covid and kids in cages and paris climate and endangered species and our protected land,covid,1090041105129840640,3047,255700,0,65,,2021-01-06
2377,1346818686854832128,core of the problem is states should have money for this but because of bad spending policies and then getting slammed by covid many states dont have the budget to set up proper administration trump picked a very silly time to make a point about spending habits it backfired,covid,1346811587781402624,0,15,0,0,,2021-01-06
2403,1346818679766454286,let trump continue to let americans die from covid and ignore russian hacking of our government,covid,1342228944272158721,24,778,1,0,,2021-01-06
2521,1346818642957111298,republicans turn on trump after georgia loss all the covid dead amp dying americans had no effect on corrupt rep members via,covid,172573744,2375,121721,0,0,,2021-01-06
2542,1346818635407519744,its just that every conspiracy theorist ive come across denies covid exists wont wear a mask believes david ikes lizard rubbish is a trump supporter is anti blm etc etc,covid,739094150075813888,16541,421402,0,1,,2021-01-06
2722,1346818578293673985,if not that covid19 kills the rich too celebrities wont bother seun kuti kidd biden senate trump,covid,313192451,723,25299,2,0,USA,2021-01-06
2726,1346818577240895489,meat packers were literally forced to remain on the job by decree of the trump administration to keep meat production humming while covid19 cases in the industry exploded now the state is saying that they shouldnt even be given access to the vaccine,covid,962777100,286,39123,0,162,,2021-01-06
2873,1346818536157700096,trumps report card added 8 trillion to national debt 42 reversed 80 epa regs withdrew from 13 int orgs appointed 225 judges signed 2017 tax law amp paid 750 mismanaged covid amp 355k died visited his properties 422 times pocketed 20m at his properties told 26k lies,covid,132513054,6656,194932,0,30,,2021-01-06
2905,1346818525529313287,trump had instant access to exclusive antibody meds and a private hospital when he had covid you or me would get paracetamol the same man who said he would bang his daughter makes sense to believe this man,covid,1258082291370397696,254,3502,2,0,,2021-01-06
3109,1346818466955882502,coronavirus america is getting ready to do the unthinkable ration health care because trump failed to control covid biden taking over cant come soon enough we must finally confront this deadly disease get it under control asap save lives and get everyone back to work,covid,793257137866768384,3094,14153,2,0,USA,2021-01-06
3162,1346818450530979840,the covid19 pcr tests are fake the models were fake now a coronavirus truthergrifter is speaking at the trump rally,covid,732971256,8961,118502,0,556,,2021-01-06
3181,1346818445111824386,america owes a huge debt to stacey for what shes done now biden can choose the ag he wants and cabinet members and judges and the doj and pursue criminal charges against the seditious trumplicans purjury money laundering blackmail collusion etc etc amp deal with covid,covid,1325138549423792129,10,1656,0,0,,2021-01-06
3261,1346818422714339329,kenya to procure 24 million doses of covid19 vaccine by february health cabinet mutahi kagwe says 24 million doses of covid19 vaccine will be in the country by the second week of february dr dre ozil mike sonko trump democrats,covid,4875021449,1704,25286,0,0,,2021-01-06
3304,1346818407237238784,auspol morrison suffers poor judgement trump response to covid climate change china the economy in fact he gets few if anything right he is arrogant a know all a liar superficial condones corruption he is lazy and his beliefs fraudulent and self serving,covid,1116967002,261,2215,0,270,,2021-01-06
3321,1346818401721872386,expand scotus impeach trumpappointed federal judiciary statehood for dc statehood or independence for puerto rico abolish ice end the electoral college tear down the wall open the borders rejoin paris nationwide covid policy healthcare green new deal doit,covid,2296406126,33,3157,0,63,OK,2021-01-06
3364,1346818387062763521,yeah it came from china but it wasnt chinese scientists creating the virus in a lab for evil purposes as trump supporters like to espouse and that was my point dumb has been the trump administration response to covid19 including the incompetent vaccine distribution,covid,3751707496,1579,4211,1,0,USA,2021-01-06
3426,1346818368796585989,so if trump calls covid the china virus can we call the new variant b117 the bojo virus,covid,193130354,1688,5747,7,0,,2021-01-06
3558,1346818325041410049,the awesome jacinda ardern moves new zealand to all but life as normal 5 months ahead of plan after 17 national covidfree days every success jacinda ardern achieves magnifies the failure of the west and in particular of boris johnson and donald trump,covid,85357015,3656,35856,0,15,,2021-01-06
3581,1346818320213938177,at what point has trump stood up to china was it the trade deal where they wont even do half of what was promised or when covid hit and he was on his knees praising xi the current gop runs on myths they dont stand for anything,covid,234775568,874,82818,1,0,TX,2021-01-06
3786,1346818260612894722,trump devils are in dc today on behalf of their crime boss who is almost always in the wrong amp now as usual he cant resist stirring up trouble amp worse spreading killer covid while at it then wonders why he lost as he dmn well deserved to trumplost2020,covid,1279668507072962561,81,1057,0,0,,2021-01-06
3792,1346818259530764294,he was skeptical of covid19 now from his hospital bed he posts videos on social media urging others to wear their masks covid19 vaccination antivax wednesdaythought trumpvirus antimask maskup trumpliedpeopledied,covid,88536854,192,4452,0,0,,2021-01-06
3859,1346818240786427906,wearing a mask in no way will guarantee you wont get covid thats not the point the point is the more people who wear masks the less the virus will be able to spread and less people will be sick its doing your part for team which trump doesnt seem to understand,covid,886004179206057985,1735,31617,0,0,,2021-01-06
3905,1346818224525111297,thank you georgia thank you true americans thank you god we can now work to heal stop the deaths of covid undo policies designed to lift up the rich amp stomp on the poor amp we can be 1 with our allies again byebyetrump mitchslapped senateflippedblue georgiansvoted,covid,118491454,3790,138096,0,25,,2021-01-06
3937,1346818218917326849,neonazi troll baked alaska claims he tested positive for covid19 hes been in the middle of trump protests throughout the day without a mask,covid,1220937768077012992,70,11839,0,194,,2021-01-06
3969,1346818206246313985,president donald trump all but guaranteed such suffering for some of his most fervent supporters when despite the existence of the new covid19 strain he urged the maga masses to congregate in washington to protest joe bidens victory,covid,63144098,24694,214012,0,1,USA,2021-01-06
4147,1346818150726299648,trumps covid consequences gopdeathcult,covid,827327176613715969,533,8212,0,0,IL,2021-01-06
4172,1346818143361097729,as of right now we are over 350000 deaths due to covid but thats not are main concern that 600 dollar stimulus and what president trump is going to do after january 20 is more important then covid19,covid,979529406006878209,27,462,0,0,,2021-01-06
4195,1346818138902589440,covid19 desatan is just another evil trump republican remember this when its election time cnn ron desantis craven dodge on covid via,covid,1144362608692269056,85,1536,0,0,USA,2021-01-06
4388,1346818084053659659,i stole this from becausewellits perfect maga magaiscancelled trump trumpmeltdown trumpcrimefamily wearamask wearadamnmask covid covid19 coronavirus gop gophypocrisy gopseditioustraitors gopsedition trumpispathetic trumpfailedamerica biden,covid,1042228017374928901,252,37298,0,178,,2021-01-06
4440,1346818071185428484,guy whos so inept hes allowed covid 19 to run unchecked throughout our country says what absolutely looking forward to january 20th when america will see joe biden sworn in as the 46th president of the usa trumplied352kamericansdied 46thpresidentelectjoebiden,covid,1268692168736030721,30,7428,0,0,,2021-01-06
4522,1346818049018634240,donald trumps covid19 plan feb covid isnt real mar itll go away apr itll go away may itll go away jun itll go away jul itll go away aug itll go away sep itll go away oct still holding superspreader rallys,covid,25690115,652,45762,0,0,,2021-01-06
4653,1346818008925220866,what happens when you follow a narcissist cult leader and listen to right wing media trumpism kills,covid,497877603,92,21835,0,0,,2021-01-06
5001,1346817915396493319,the pandemic wasnt an unlucky handicap for trump it was a massive gift it shouldve handed him reelection look how much respect cuomo got just for looking like he took it seriously look at the bump w got from 911 even though he was far more to blame than trump for covid,covid,1332463681,88,4011,0,53,,2021-01-06
5075,1346817894735360000,hey trump remember covid oh im sorry you like the baby names so remember the china virus yeah still killing great numbers of americans think you use a little of your time on that maybe put your golf clubs down dumptrump,covid,966840171693068289,272,916,1,0,USA,2021-01-06
5099,1346817888246611969,id say trump single handedly blowing up covid relief negotiations and then delivering 2000 checks if we win talking point to dem candidates hurt rs more than the call rs have two modes on this pathetic coup attempt 1 do it 2 dont do it because it will fail,covid,542538358,37,8618,0,0,,2021-01-06
5243,1346817850791653389,hmmm lotta red states at the top of that list oh i see youre a trump sheep with zero idea of whats actually happening anywhere,covid,2255100512,46,11120,0,0,LA,2021-01-06
5268,1346817844953165829,the people of the united states have lost 357000 souls to the covid 19 virus donald trump carries a huge responsibility based upon either gross incompetence or negligence yea we know the political stuff but here in the mi8 we are angry,covid,15636342,1513,69251,0,2,OH,2021-01-06
5281,1346817839936712704,i do remember trump running around giving covid to everyone your in fantasy,covid,1198929318958817280,247,5652,1,0,,2021-01-06
5341,1346817824061353984,yep all trump had to do was take covid a tiny bit seriously and all mcconnell had to do was throw folks two crumbs instead of one but instead theyll blame each other which is ok,covid,935721956,575,5970,2,0,,2021-01-06
5515,1346817781187162112,a queer and black man are about to take down trump amp the republican party factsdomatter lifeisgood trump maga proudboys gop march georgia covid,covid,748080476,1186,20893,0,0,CA,2021-01-06
5569,1346817765445754883,jon ossoff to georgians ill be for you cbs a queer and black man are about to take down trump amp the republican party factsdomatter lifeisgood trump maga proudboys gop march georgia covid,covid,1345869035523743748,23,1211,0,1,,2021-01-06
5592,1346817761587163138,im not getting any of the vaccines no way im following trumps plan drinking bleach getting light beamed myself and if i get covid ill send a google maps pin to marine 1 for my ride to walter reed or maybe i wont be a moron and ill get a shot its a coin flip,covid,714779804017565698,81,2838,1,0,,2021-01-06
5633,1346817753357938688,how does maga handle reality today georgia turning all blue police do actually mace maga and proud boys biden gets a step closer to being president hot dogs and pretzels run out covid still available no cheese being served as trump whines,covid,1282009591744733184,158,4486,2,0,USA,2021-01-06
5823,1346817700400652289,and today our capital city is filled with trump cultists intent on starting violence and creating havoc and the cult is there to spread covid with trump egging them on heartbreaking and very very dangerous,covid,39811050,364,63200,0,0,VA,2021-01-06
5887,1346817682654560256,my only question is if people are dyingwhy not give them the meds that trump got are you withholding a treatment lets eradicate covid19 ,covid,1131951800,408,10454,0,17,NC,2021-01-06
5945,1346817663650078720,you bet on trump being reelectedyou neglected your job you are personally responsible 4deaths in az az currently has the highest percapita rate of new covid19 infections with 785 cases per 100000 people over the past seven days,covid,102804703,13292,57825,0,0,,2021-01-06
6000,1346817646537416706,you lost the election loser wheres your healthcare plan how about the covid crisis that you lied about downplayed contracted amp spread 21m infected 357k dead failedgop loserinchief trumpliedamericansdied trumpisanationaldisgrace,covid,1345712193950646278,2,111,0,0,,2021-01-06
6007,1346817643337027596,so mitch mconnel is out trump is out all three branches of government are basically democrat most of you got what youve all been complaining about now lets see if they pass any more help for americans in response to covid or if nothing changes and its all just the same crap,covid,585140793,300,18691,3,0,,2021-01-06
6102,1346817615138873345,the outbreak has been linked to the slew of rallies that trump did in the weeks before the nov 3 presidential election and has sidelined approximately 10 percent of the agencys core security team the washington post reported friday,covid,478005884,738,48837,0,4,USA,2021-01-06
6132,1346817605542277120,congress live updates lawmakers to count electoral college votes affirming bidens win in face of republican challenges i think youll need stop bitchen about the fake fraud garbage that trump has been thrown out you need to worry more about the covid,covid,1337241441869959168,1,228,0,0,,2021-01-06
6166,1346817594603560966,he deserves to be in inauguration in office trump got corruption and covid19 virus spreading over this nation its time top stop the racism all lives matter,covid,1112085632627757061,148,416,0,0,,2021-01-06
6343,1346969786673225730,trump im going to go to my scotland property the last day of my term so i cant be arrested scotland declares month long total lockdown and bans international travel until february 1 well played scotland well played nationallockdown trumptapes,travel,726799391433052160,313,21463,0,10478,,2021-01-06
6347,1346969766695641088,breaking via wh press pool press pool reporter says nothing new at the white house and no word on when we will have a lid wrt uscapitol protest a travel photo lid would end the day in terms of journalists potential interaction with trump capitol capitolhill,travel,80483638,826,51500,0,0,,2021-01-06
6402,1346911933400711172,if it was africa travel advisories would be flying left right and centre and troops would be landing as fast as you can say trump won the election cnn where you ,travel,217351939,5429,16770,0,1,,2021-01-06
6438,1346911817088389122,in the theatrics of trumps soft coup we shouldnt lose sight of the larger goal of his project to preserve a white majority in america delegitimizing the voting process along with his travel ban border wall visa restrictions etc is a means to this end,travel,33552828,290,41290,0,56,,2021-01-06
6454,1346911768971456512,look blm has nothing to do with the hate displayed at the capitol blm is for equality for minorities we cant stand trump and his racism what makes you think we would travel and chance being locked up for a racist person you sound ignorant we are celebrating georgia,travel,1137549018039508992,68,1358,0,0,FL,2021-01-06
6509,1346911600012271616,hold trump mitch rudy giuliani and ted cruz accountable will au eu china russia uk nato consider visatravel bans utter mess,travel,173747504,1449,40801,0,3,,2021-01-06
6530,1346911507427196935,to anyone saying these traitors arent representative of most trump supporters yes they are these are just the ones that were willing to travel,travel,281910300,935,93758,0,2,,2021-01-06
6556,1346911422236692483,scotlands leader says trump isnt welcome to visit his turnberry resort because golfing isnt essential travel,travel,134178084,330,14858,0,45,,2021-01-06
6660,1346911014554533888,especially as trump whitehouse issues guidance on restricting the travel of antifa,travel,233752102,1116,2020,1,0,,2021-01-06
6674,1346910956031365122,enough is enough if youre still a supporter youre a fucking traitor the national guard and state troopers should arrest everyone at the capitol then arrest trump,travel,24559714,22698,5156,0,1503,,2021-01-06
6693,1346910863358234624,you telling me black amp brown people protest peacefully and are violently attacked with rubber bullets tear gas etc but trump supporters can aggressively break in the capitol and the police dont use the same excessive violence and force,travel,805559809445478401,3072,43994,0,269,,2021-01-06
6695,1346910862083194884,you have really destroyed america donald trump from day 1 you have undermined americas reputation in the world you go around talking nonsense inciting violence implement awful policies including racist travel ban muslim ban diving opinions it is getting out of hands now,travel,2957468243,1857,222589,0,1,,2021-01-06
6729,1346910752817364993,breaking gobhiji to travel to us to support his friend doland and lead the trumprally washingtondc,travel,59122410,553,9435,0,0,,2021-01-06
6751,1346910694126493699,the covid numbers are even accurate when someone dies of a car crash and has the flu they dont count it as a flu death we also had a 400k people from china that came here before trump restricted travel far more than any other country,travel,167411983,501,30590,0,0,CO,2021-01-06
6791,1346910573963792385,trump wont be allowed to visit scotland to play golf during bidens inauguration scotlands first minister nicola sturgeon says its illegal to travel in or out of scotland without a valid reason coming to play golf is not an essential purpose,travel,29380756,71,12552,0,6279,MO,2021-01-06
6799,1346910555307614216,will africa nations issue travel advisories to united state of america after the trump protests,travel,305674092,1290,6162,0,0,,2021-01-06
6869,1346910369931956232,africa must condemn electoral violence going on in the usa evacuate her citizens and issue travel advisories dictator trump must concede,travel,1457620586,25873,19732,0,0,,2021-01-06
6921,1346910225631072265,do any trump supporters work who the fuck has time to travel to dc in the cold no less to do all this sorry trump is enjoying this disruption he dont care about anyone never has never did hes sitting in his bunker praying for a civil war god is greater than this moment,travel,15540010,1451,73932,0,0,USA,2021-01-06
6944,1346910161856724994,there wasnt just graffiti in portland police were attacked and arson was attempted on federal buildings violence from antifa and violence from trump supporters should both be condemned and prosecuted,travel,2792587425,242,6694,0,0,WA,2021-01-06
6957,1346910126964293632,so do you have a bible verse for us on this this is the end result of the road you folks were warned and yet thought you could travel on you have brought shame upon yourself and upon the us senate if you have an ounce of integrity youd resign trumpcoup,travel,1257031448835403777,54,4156,0,0,,2021-01-06
7001,1346909976787255299,all this shit based on lies ignorant trump told his ignorant supporterswhere did these ppl get money to travel to do this shit when ppl are going hungry homeless and dying from a pandemic trump should be locked the fuck up and all those that support this kind of shit,travel,1240333505655177216,702,22095,1,0,,2021-01-06
7190,1346909536922132481,all these comments from people expressing surprise amp shock travel outside your country amp youll find the entire world expected this protesters with guns and backpacks outnumbering the police how is trump free of prosecution ignorance is no legal excuse in any other country,travel,1338926553850245121,1,218,1,0,,2021-01-06
7227,1346909482438242304,go back and handle it like it shouldve been all along like when trump shit down travel from china and got called racist by your beloved politicians,travel,1347099560,15,642,22,0,,2021-01-06
7317,1346909287004528645,dear president biden damn that sounds good i have watched your country be degraded for long enough trump and his enablers must face justice for there actions and any external travel by any of them must be blocked for 1 month from today none of us want him either,travel,883271294904483840,22,297,0,0,,2021-01-06
7330,1346909247741845513,theyre in the chamber one is up on the dais yelling trump won that election this is insane,travel,173276279,757,158270,0,55137,USA,2021-01-06
7398,1346909008204947461,so are we holding the folks accountable that fought trumps travel ban because of covid that went to chinatown too or is this just more orange man bad,travel,532524847,9,189,4,0,LA,2021-01-06
7454,1346908812515676160,trump gets blamed for a lot of things,travel,1185631219817603072,209,1287,0,0,,2021-01-06
7456,1346908808333848578,right after trump took office he started working on a ban of all travel from nations with high muslim populations exclusively it was shut down on the basis of discrimination and had to go through multiple drafts adding unrelated countries until it could technically be argued,travel,1175067111627952128,185,4152,0,0,,2021-01-06
7469,1346908776155271172,you should have learnt about that putins script years ago you paid next to no attention to the events in ukraine why now this fires getting worse arresttrumpnow,travel,316490589,1509,85186,0,15,,2021-01-06
7495,1346908676527943682,time for nigerian government to place travel ban on some republicans and trump enablers ,travel,45666672,1638,14734,0,0,,2021-01-06
7502,1346908650443472898,question obliviously these maga trump supporters attacking the capitol in dc do not have jobsso who is paying their travel food amp hotel expenses capitolbuilding,travel,17780763,2819,130004,3,0,NY,2021-01-06
7531,1346908557761892352,this is what domestic terrorism looks like this is donald trumps america imagine the police response if these were black people breaking into the capitol if you dont see white supremacy and a total threat to democracy when you see this its because you dont want to,travel,24559714,22698,5156,0,8066,,2021-01-06
7571,1346908409644392448,as far as i am concerned all leaders of democratic nations should block the travel of trump and his family from their countries and freeze their assets,travel,44113964,3922,174383,3,0,,2021-01-06
7584,1346908383681589250,trump supporters in dc represent the same trump supporters who cant make it to dc today bc of work or travel reasons so quiet today why are the trump supporters not in dc not talking to me today,travel,1327014072320221188,117,3512,0,1,TX,2021-01-06
7597,1346908338362134531,trump is about to head back to dc will this be his last flight aboard air force one he hasnt got any travel planned before inauguration day though he hasnt decided what hes doing yet per aides after noon on jan 20 the plane is just special air mission,travel,969518593728794624,16,244109,0,130,,2021-01-06
7675,1346908095289708544,a lively moment captured by the very talented of during a conversation with president trump on board air force one during his campaign travel this week,travel,969518593728794624,16,244109,0,85,,2021-01-06
7768,1346907813512179717,especially nigerians who support him and they keep forgetting that trump place naija on travel ban and its hard to relocate,travel,1333587032,115,1952,15,0,,2021-01-06
7769,1346907805379416066,trumpite brain dead clashing with dc police these assholes get dumber with every breath they take maybe we should be handing out travel brochures for russia they might prefer to live there,travel,485206190,1028,57726,0,0,CT,2021-01-06
7851,1346907613259321345,wearing make america great again caps and sharing beers hundreds of donald trump supporters insist they will never accept joe biden as president as they travel by bus from boston to washington to protest congresss expected certification of his win,travel,53583408,779,15837,0,19,,2021-01-06
7852,1346907611254452225,we look like a banana republic right now thanks trump for this decent into chaos,travel,375391292,83,2446,0,0,GA,2021-01-06
7878,1346907528802803717,falseflag to end quickly dc protest no walks no more protests the beautiful pictures was taken for trumps personal history book he did his job nothing to see go home game is over pity 4 the ppls who made this travel at list they r in beautiful god bless,travel,1005670399676436480,550,25641,0,0,,2021-01-06
7891,1346907512063275010,trump beverages trump airlines trumpmagazine trump the game trump casinos gotrump travel trump mortgage trump steaks trump university trumpnet trump towertampa trump vodka donald trump the fragrance apprentice grand old party gop things donny dipshit completely fucked up,travel,983821288975323138,1551,6931,1,0,,2021-01-06
7893,1346907503288836099,you know theres trump supporters who not gone travel but they will make noise in their city im in baton rouge la and theres been a few trump parades before the election last year and protests downtown so might be something,travel,32249679,2267,148777,0,0,LA,2021-01-06
7956,1346907282634805249,following her loss in georgia to the rev raphael warnock senator kelly loeffler did not concede and said she still planned to travel to washington to contest president trumps presidential loss she remains a senator until warnock is sworn in,travel,942904823548059650,5,2584,0,130,,2021-01-06
7980,1346907174975524865,scottish leader says travel rules barring entry would also apply to trump,travel,39041860,649,76506,0,130,,2021-01-06
8020,1346907029605117952,trump is a man who have guts to speak from the heart,travel,871713996633755648,3623,6589,0,0,,2021-01-06
8066,1346906885518024704,these trump supporters just get more embarrassing as the weeks go by if i travel im from mexico from now on,travel,382378903,395,17224,0,0,CA,2021-01-06
8113,1346906712981336069,one trump legacy is that never again will us representatives be able to travel to another nation and witness validate or criticise that countries election processes,travel,53166340,82,4420,7,0,,2021-01-06
8174,1346906511633600512,white americans are about to be banned from international travel indefinitely your trump loving relatives have screwed all of you damn shame,travel,1337292228192948224,47,3395,1,0,,2021-01-06
8178,1346906499617009667,watching the trump supporters storm the capital congratulations donald trump your wish has come true you are taking us all down as you exit,travel,173276279,757,158270,0,113,USA,2021-01-06
8185,1346906491446562825,donald trump is a demagogue who is inciting an insurrection against our constitution,travel,375391292,83,2446,0,5010,GA,2021-01-06
8200,1346906443916533760,gree i wonder were melania jared and trumps kids are maybe hiding out until putin can get safe travel to russia for them all so they dont have to wear stripes,travel,819728244119257088,43,11511,0,0,,2021-01-06
8232,1346906325255659520,senators being evacuated as protesters storm the capitol trump supporters seen here discharging a fire extinguisher and officers are literally standing there and watching them where are the police where are the national guard,travel,173276279,757,158270,0,1088,USA,2021-01-06
8373,1346905848325562376,scottish first minister nicola sturgeon on speculation trump plans to fly to scotland to play golf during bidens inauguration i hope and expect the travel plan immediately that he has is to exit the white house,travel,163611122,249,12966,0,103,,2021-01-06
8533,1346905397068656640,lets do the presidential job about the vaccines lets do warp speed we need to have doctors train the national guard to vaccinate us and to travel the world vaccinating lets be americans again instead of trumpers and lets keep the qualifying pharmacies open 24 hours,travel,1294405721736413189,17,1135,0,0,ID,2021-01-06
8735,1346904709408432128,trump should be charged w incitement of a riot if any of these protestors have jobs since they have the time travel to a protest they should be fired hopefully the media has lots of photos of these childish fools,travel,817868304027176960,342,27778,0,0,OH,2021-01-06
8801,1346904511764422659,does anyone know why all nations especially the western countries have not issued a travel ban on donald trump or the ban is only for african leaders alone,travel,804197036,312,19527,0,0,,2021-01-06
8866,1346904316947230724,uhhhh didnt your wife travel with trump to georgia last week to campaign what exactly is your role in all of this,travel,759848488163160065,58,3344,0,0,CA,2021-01-06
8901,1346904201507573760,trump supporters are literally breaking into the us capitol and im talking about the phone all to ga sos where he threatened him to find ballots and how about the first xo he did the muslim travel ban you clearly know nothing about politics nor law and you look idiotic,travel,1066012901574668289,51,2340,1,0,,2021-01-06
8922,1346904117394907136,washington post says thousands nothing more accurate that ive seen i wonder how they all managed to afford to get to washington did trumps cronies set up a travel fund for them,travel,36843230,773,2833,2,0,,2021-01-06
9036,1346903751395782656,just so everyone is aware congress is in lockdown right now due to trump supporters most of whom do not live in dc and did not follow travel mandates storming the us capitol building because they refuse to accept that he lost,travel,739782939903459328,133,13285,0,0,,2021-01-06
9050,1346903703102447616,its why trump issued that terrorist travel statement yesterday,travel,786211364385673216,732,13738,1,0,,2021-01-06
9081,1346903621825404933,trump is considering travelling to his turnberry golf resort to avoid joe biden inauguration but scotlands minister said it is illegal to travel in or out of the country without a valid reason coming to play golf is not what i would consider to be an essential purpose,travel,710516798232219648,20374,42650,0,0,,2021-01-06
9154,1346903425641029633,oh really communist china is solely responsible trump banned travel immediately amp criticized by dems for doing so you listen to liberal media lies did the democratic potus get blamed for the spanish flu,travel,52629406,130,2164,1,0,TX,2021-01-06
9197,1346903279800877065,is trump the ne erdogan we all have seen how turkish lira performed oh we maybe time to travel to the us and get some bags on the cheap,travel,1105089212,8828,13910,3,0,,2021-01-06
